WigleWifi-1.4,appRelease=2.26,model=SM-G950F,release=7.0,device=dreamlte,display=NRD90M.G950FXXU1AQH3,board=universal8895,brand=samsung
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
42507_7211_3084804,HOT mobile,UNKNOWN;il,2017-11-08 22:15:54,0,-95,32.10443499490003,35.20870900944454,709.3369698709741,6,GSM
00:25:86:cc:00:f8,AUC_54_R,[ESS],2017-11-08 22:15:58,5,-89,32.10450055146798,35.20871516537863,706.8842492636097,6,WIFI
ec:8c:a2:26:d3:68,Ariel_University,[ESS][BLE],2017-11-08 22:15:58,1,-90,32.10450055146798,35.20871516537863,706.8842492636097,6,WIFI
ec:8c:a2:26:d2:c8,Ariel_University,[ESS][BLE],2017-11-08 22:16:04,11,-81,32.10469253054429,35.20887019250685,703.574727687609,3,WIFI
00:25:86:cc:07:b2,KCG_54,[ESS],2017-11-08 22:16:04,2,-91,32.10469253054429,35.20887019250685,703.574727687609,3,WIFI
90:6c:ac:9f:fb:1f,CliClap,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:07,11,-85,32.10478367612144,35.2089785504828,702.8443033172357,4,WIFI
24:1f:a0:1d:48:fb,HUAWEI_Grace_A9A9,[WPA2-PSK-CCMP][ESS],2017-11-08 22:16:07,6,-90,32.10478367612144,35.2089785504828,702.8443033172357,4,WIFI
00:27:22:f3:e0:83,,[ESS],2017-11-08 22:16:07,6,-87,32.10478367612144,35.2089785504828,702.8443033172357,4,WIFI
02:6c:ac:9f:fb:1f,fortinet,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:10,11,-91,32.104871317763454,35.209108633384,702.5612749314488,4,WIFI
00:1a:dd:f5:0c:04,,[ESS],2017-11-08 22:16:10,9,-86,32.104871317763454,35.209108633384,702.5612749314488,4,WIFI
f0:b0:52:3e:d6:f8,Ariel_University,[ESS][BLE],2017-11-08 22:16:10,6,-88,32.104871317763454,35.209108633384,702.5612749314488,4,WIFI
1c:b9:c4:16:05:78,Ariel_University,[ESS][BLE],2017-11-08 22:16:10,6,-88,32.104871317763454,35.209108633384,702.5612749314488,4,WIFI
a2:6c:ac:a0:7b:4d,Guest,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:13,6,-93,32.1049520118837,35.20923250014119,701.8340611795024,4,WIFI
1c:b9:c4:16:05:38,Ariel_University,[ESS][BLE],2017-11-08 22:16:13,11,-86,32.1049520118837,35.20923250014119,701.8340611795024,4,WIFI
00:1a:2f:7f:6b:70,,[WPA2-PSK-CCMP][ESS],2017-11-08 22:16:16,13,-90,32.104998064745466,35.209319749765434,700.9843086908206,3,WIFI
00:1a:dd:f5:0c:05,Afikim_Wifi,[ESS],2017-11-08 22:16:16,9,-84,32.104998064745466,35.209319749765434,700.9843086908206,3,WIFI
02:02:ae:de:32:ee,RelTele,[WEP][IBSS],2017-11-08 22:16:19,1,-90,32.105034567826,35.209392762298634,700.38190442878,4,WIFI
90:6c:ac:a0:7b:4d,EVE,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:28,6,-90,32.10531141498313,35.20920665474805,698.7760186518657,3,WIFI
b2:6c:ac:a0:7b:4d,artsim,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:28,6,-90,32.10531141498313,35.20920665474805,698.7760186518657,3,WIFI
d2:6c:ac:a0:7b:4d,outsense,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:28,6,-90,32.10531141498313,35.20920665474805,698.7760186518657,3,WIFI
e2:6c:ac:a0:7b:4d,restore,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:28,6,-90,32.10531141498313,35.20920665474805,698.7760186518657,3,WIFI
f8:d1:11:77:75:4e,iAgree,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 22:16:28,7,-91,32.10531141498313,35.20920665474805,698.7760186518657,3,WIFI
d2:6c:ac:9f:fb:1f,iagree,[WPA2-PSK-CCMP-preauth][ESS],2017-11-08 22:16:28,11,-92,32.10531141498313,35.20920665474805,698.7760186518657,3,WIFI
f8:e9:03:12:ef:3b,ShapeDo,[WPA2-PSK-CCMP][ESS][BLE],2017-11-08 22:16:34,1,-93,32.10522248019084,35.20898718804124,696.9130449409464,3,WIFI
ec:8c:a2:08:a9:28,Ariel_University,[ESS][BLE],2017-11-08 22:16:40,11,-89,32.104832184793686,35.208393287124416,695.4423215650061,6,WIFI
00:1a:dd:f5:0c:04,,[ESS],2017-11-08 22:16:43,9,-92,32.10471287020428,35.20810722607269,694.8592203114224,4,WIFI
f8:d1:11:77:75:4e,iAgree,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2017-11-08 22:16:43,7,-91,32.10471287020428,35.20810722607269,694.8592203114224,4,WIFI
00:1a:dd:f5:0c:05,Afikim_Wifi,[ESS],2017-11-08 22:16:43,9,-91,32.10471287020428,35.20810722607269,694.8592203114224,4,WIFI
00:27:22:f3:e0:7b,,[ESS],2017-11-08 22:16:43,1,-89,32.10471287020428,35.20810722607269,694.8592203114224,4,WIFI
1c:b9:c4:15:0e:b8,Ariel_University,[ESS][BLE],2017-11-08 22:16:43,11,-90,32.10471287020428,35.20810722607269,694.8592203114224,4,WIFI
ec:8c:a2:26:d3:c8,Ariel_University,[ESS][BLE],2017-11-08 22:16:43,1,-92,32.10471287020428,35.20810722607269,694.8592203114224,4,WIFI
24:1f:a0:1d:48:fb,HUAWEI_Grace_A9A9,[WPA2-PSK-CCMP][ESS],2017-11-08 22:16:46,6,-89,32.104677467333836,35.20794413153503,694.6556286306352,4,WIFI
